Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_2_2.golog,0.141,0,0.004,0.018,0,0.018,0.181,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_2_2.golog,0.074,0,0.003,0.005,0,0.018,0.1,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_2_2.golog,0.075,0,0.003,0.009,0,0.009,0.096,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_2_2.golog,0.08,0,0.003,0.005,0,0.018,0.106,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_2_2.golog,0.078,0.001,0.004,0.006,0,0.003,0.092,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_2_2.golog,0.082,0,0.004,0.004,0,0.004,0.094,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_3_3.golog,0.084,0,0.008,0.061,0,0.08,0.233,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_3_3.golog,0.08,0,0.007,0.007,0,0.092,0.186,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_3_3.golog,0.073,0.001,0.008,0.024,0,0.024,0.13,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_3_3.golog,0.078,0,0.008,0.011,0,0.149,0.246,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_3_3.golog,0.078,0.001,0.008,0.023,0,0.016,0.126,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_3_3.golog,0.076,0,0.007,0.006,0,0.022,0.111,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_4_4.golog,0.081,0,0.02,0.143,0,0.51,0.754,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_4_4.golog,0.089,0,0.021,0.011,0,0.775,0.896,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_4_4.golog,-0.521,0.002,0.02,0.036,0,0.113,-0.35,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_4_4.golog,0.079,0,0.021,0.011,0,0.701,0.812,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_4_4.golog,0.075,0.001,0.018,0.043,0,0.04,0.177,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_4_4.golog,0.076,0,0.018,0.011,0,0.067,0.172,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5_5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_5_5.golog,0.079,0,0.048,0.274,0,6.964,7.365,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5_5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_5_5.golog,0.076,0,0.047,0.015,0,7.257,7.395,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5_5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_5_5.golog,0.077,0,0.046,0.05,0,0.137,0.31,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5_5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_5_5.golog,0.076,0,0.044,0.014,0,3.305,3.439,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5_5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_5_5.golog,0.074,0,0.048,0.078,0,0.056,0.256,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5_5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_5_5.golog,0.072,0,0.046,0.018,0,0.273,0.409,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6_6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_6_6.golog,0.078,0,0.083,0.501,0,32.829,33.491,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6_6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_6_6.golog,0.096,0,0.119,0.033,0,73.668,73.916,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6_6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_6_6.golog,0.085,0,0.091,0.083,0,0.653,0.912,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6_6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_6_6.golog,0.084,0,0.088,0.02,0,77.295,77.487,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6_6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_6_6.golog,0.1,0.01,0.096,0.144,0,0.094,0.444,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6_6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_6_6.golog,0.094,0,0.092,0.027,0,1.297,1.51,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p7_7.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_7_7.golog,0.096,0.001,0.229,0.912,0,88.429,89.667,Compositional
